Node ID,New Node ID,Branch,Node Name,Tier #,Parent Nodes,Node Icon,Node Description,Cost,X coordinate,Y coordinate,Z coordinate
AA_7_Electrical_Power_Networks,,Electronics,Power Networks,7,AA_6_Electrical_Nuclear_Power_Systems,RDicon_electrics,Large-scale power grids.,800.0,-1200.0,0.0,0.0
AA_7_Communication_Advanced_Relays,,Communication,Advanced Relays,7,AA_6_Communication_Interplanetary_Comms,RDicon_communication,Robust relay networks.,800.0,-1200.0,-150.0,0.0
AA_7_Science_Interstellar_Phenomena,,Science,Interstellar Phenomena,7,AA_6_Science_Deep_Space_Research,RDicon_science,Exotic astrophysics.,800.0,-1200.0,-300.0,0.0
AA_7_Rover_Autonomous_Systems,,Rover,Autonomous Systems,7,AA_6_Rover_RuggedSystems,RDicon_rover,Automated surface ops.,800.0,-1200.0,-450.0,0.0
AA_7_Rocket_Specialized_Rocketry,,Rocket_Archer,Specialized Rocketry,7,AA_6_Rocket_Heavy_Rocketry,RDicon_rocketry,Special-purpose launch systems.,800.0,-1200.0,-600.0,0.0
AA_8_Aircraft_NextGen_Aerospace,,Aircraft,Next-Gen Aerospace,8,AA_7_Aircraft_Hypersonic_Systems,RDicon_flight,Advanced aerospace systems.,1100.0,-1000.0,600.0,0.0
AA_8_Structural_Megastructures,,Structural/Industrial,Megastructures,8,AA_7_Structural_Orbital_Assembly,RDicon_structural,Massive space structures.,1100.0,-1000.0,300.0,0.0
AA_8_Electrical_Grid_Scale_Power,,Electronics,Grid-Scale Power,8,AA_7_Electrical_Power_Networks,RDicon_electrics,Extreme power generation.,1100.0,-1000.0,0.0,0.0
AA_8_Communication_Galactic_Networks,,Communication,Galactic Networks,8,AA_7_Communication_Advanced_Relays,RDicon_communication,Galaxy-spanning comms.,1100.0,-1000.0,-150.0,0.0
AA_8_Science_Exotic_Physics,,Science,Exotic Physics,8,AA_7_Science_Interstellar_Phenomena,RDicon_science,Advanced theoretical science.,1100.0,-1000.0,-300.0,0.0
AA_8_Rover_Heavy_Industry,,Rover,Heavy Industry,8,AA_7_Rover_Autonomous_Systems,RDicon_rover,Industrial surface operations.,1100.0,-1000.0,-450.0,0.0
AA_8_NASA_SLS,,Rocket_NASA,NASA SLS,8,AA_7_Rocket_Specialized_Rocketry,RDicon_rocketry,SLS-class launch systems.,1100.0,-1000.0,-600.0,0.0
AA_8_Station_International_Space_Station,,Station,International Space Station,8,AA_6_Soviet_Salyut_Mir,RDicon_station,Large modular space stations.,1100.0,-1000.0,-750.0,0.0
AA_9_Aircraft_Orbital_Planes,,Aircraft,Orbital Planes,9,AA_8_Aircraft_NextGen_Aerospace,RDicon_flight,Spaceplane operations.,1500.0,-800.0,600.0,0.0
AA_9_Structural_Interplanetary_Frameworks,,Structural/Industrial,Interplanetary Frameworks,9,AA_8_Structural_Megastructures,RDicon_structural,Deep space construction.,1500.0,-800.0,300.0,0.0
AA_9_Electrical_Stellar_Power,,Electronics,Stellar Power,9,AA_8_Electrical_Grid_Scale_Power,RDicon_electrics,Extreme power systems.,1500.0,-800.0,0.0,0.0
AA_9_Communication_Interstellar_Comms,,Communication,Interstellar Comms,9,AA_8_Communication_Galactic_Networks,RDicon_communication,Interstellar communication.,1500.0,-800.0,-150.0,0.0
AA_9_Science_ExoticResearch,,Science,Exotic Research,9,AA_8_Science_Exotic_Physics,RDicon_science,Frontier scientific research.,1500.0,-800.0,-300.0,0.0
AA_9_Rocket_Experimental_Systems,,Rocket_Archer,Experimental Systems,9,AA_8_NASA_SLS,RDicon_rocketry,Next-generation propulsion.,1500.0,-800.0,-600.0,0.0
AA_9_Station_HeavyStations_375,,Station,Heavy Stations (3.75m),9,AA_8_Station_International_Space_Station,RDicon_station,Large-scale stations.,1500.0,-800.0,-750.0,0.0
AA_9_Resource_Industrial_Extraction,,ISRU,Industrial Resource Extraction,9,"AA_7_Rover_RuggedSystems,AA_6_Electrical_Nuclear_Power_Systems,AA_9_Science_ExoticResearch,AA_7_Rocket_Specialized_Rocketry",RDicon_fuelSystems,Industrial mining and ISRU.,1500.0,-800.0,-900.0,0.0
AA_10_Structural_Deep_Space_Construction,,Structural/Industrial,Deep Space Construction,10,AA_9_Structural_Interplanetary_Frameworks,RDicon_structural,Extreme construction projects.,2000.0,-600.0,300.0,0.0
AA_10_Electrical_Megascale_Energy,,Electronics,Megascale Energy,10,AA_9_Electrical_Stellar_Power,RDicon_electrics,Massive energy systems.,2000.0,-600.0,0.0,0.0
AA_10_Station_SuperheavyStations_5m,,Station,Superheavy Stations (5m),10,AA_9_Station_HeavyStations_375,RDicon_station,Ultra-large stations.,2000.0,-600.0,-750.0,0.0
AA_2_Science_Applied,,,Aa 2 Science Applied,,,,,,,,
AA_2_Rover_Rover_Systems,,,Aa 2 Rover Rover Systems,,,,,,,,
AA_2_Rocket_Sounding_Rockets,,,Aa 2 Rocket Sounding Rockets,,,,,,,,
AA_2_Recovery_Separation_And_Recovery,,,Aa 2 Recovery Separation And Recovery,,,,,,,,
AA_2_Soviet_Fellow_Traveler,,,Aa 2 Soviet Fellow Traveler,,,,,,,,
AA_3_Aircraft_Subsonic_Jets,,,Aa 3 Aircraft Subsonic Jets,,,,,,,,
AA_3_SRB_Basic,,,Aa 3 Srb Basic,,,,,,,,
AA_3_Electrical_Early_Orbital_Power,,,Aa 3 Electrical Early Orbital Power,,,,,,,,
AA_3_Science_FieldScience,,,Aa 3 Science Fieldscience,,,,,,,,
AA_3_Rocket_Small_Rockets,,,Aa 3 Rocket Small Rockets,,,,,,,,
AA_3_Recovery_Small_Recovery_Systems,,,Aa 3 Recovery Small Recovery Systems,,,,,,,,
AA_3_Soviet_Vostok,,,Aa 3 Soviet Vostok,,,,,,,,
AA_4_Science_OrbitalSurvey,,,Aa 4 Science Orbitalsurvey,,,,,,,,
AA_4_Communication_DTS_Systems,,,Aa 4 Communication Dts Systems,,,,,,,,
AA_4_Aircraft_Supersonic_Jets,,,Aa 4 Aircraft Supersonic Jets,,,,,,,,
AA_4_SRB_Medium,,,Aa 4 Srb Medium,,,,,,,,
AA_4_Electrical_Advanced_Fixed_Generation,,,Aa 4 Electrical Advanced Fixed Generation,,,,,,,,
AA_4_NASA_Docking,,,Aa 4 Nasa Docking,,,,,,,,
AA_4_Recovery_Separation_Systems,,,Aa 4 Recovery Separation Systems,,,,,,,,
AA_4_Soviet_Voskhod,,,Aa 4 Soviet Voskhod,,,,,,,,
AA_4_Probe_Basic_Probe_Cores,,,Aa 4 Probe Basic Probe Cores,,,,,,,,
AA_5_Science_AdvancedSurvey,,,Aa 5 Science Advancedsurvey,,,,,,,,
AA_5_Rover_MidSystems,,,Aa 5 Rover Midsystems,,,,,,,,
AA_5_Communication_Relay_Systems,,,Aa 5 Communication Relay Systems,,,,,,,,
AA_5_Aircraft_High_Altitude_Flight,,,Aa 5 Aircraft High Altitude Flight,,,,,,,,
AA_5_SRB_Heavy,,,Aa 5 Srb Heavy,,,,,,,,
AA_5_Electrical_Deployable_Power_Systems,,,Aa 5 Electrical Deployable Power Systems,,,,,,,,
AA_5_NASA_Gemini,,,Aa 5 Nasa Gemini,,,,,,,,
AA_5_Recovery_Large_Recovery_Systems,,,Aa 5 Recovery Large Recovery Systems,,,,,,,,
AA_5_Recovery_Large_Separation_Systems,,,Aa 5 Recovery Large Separation Systems,,,,,,,,
AA_5_Soviet_Soyuz,,,Aa 5 Soviet Soyuz,,,,,,,,
AA_6_Science_ScansatAdvanced,,,Aa 6 Science Scansatadvanced,,,,,,,,
AA_6_Communication_DeepSpace_Systems,,,Aa 6 Communication Deepspace Systems,,,,,,,,
AA_6_Aircraft_Hypersonic_Flight,,,Aa 6 Aircraft Hypersonic Flight,,,,,,,,
AA_6_SRB_Super_Heavy,,,Aa 6 Srb Super Heavy,,,,,,,,
AA_6_NASA_Apollo,,,Aa 6 Nasa Apollo,,,,,,,,
AA_6_Recovery_Heavy_Recovery_Systems,,,Aa 6 Recovery Heavy Recovery Systems,,,,,,,,
AA_6_Recovery_Heavy_Separation_Systems,,,Aa 6 Recovery Heavy Separation Systems,,,,,,,,
AA_6_Probe_Advanced_Probe_Cores,,,Aa 6 Probe Advanced Probe Cores,,,,,,,,
AA_7_Science_ShuttleMaterials,,,Aa 7 Science Shuttlematerials,,,,,,,,
AA_7_Rover_RuggedSystems,,,Aa 7 Rover Ruggedsystems,,,,,,,,
AA_7_Communication_Advanced_Relay,,,Aa 7 Communication Advanced Relay,,,,,,,,
AA_7_Aircraft_Heavy_Lift_Jets,,,Aa 7 Aircraft Heavy Lift Jets,,,,,,,,
AA_7_NASA_Shuttle,,,Aa 7 Nasa Shuttle,,,,,,,,
AA_7_Probe_Large_Probe_Cores,,,Aa 7 Probe Large Probe Cores,,,,,,,,
AA_8_Science_HighEndScience,,,Aa 8 Science Highendscience,,,,,,,,
AA_8_Communication_UltraDeepSpace,,,Aa 8 Communication Ultradeepspace,,,,,,,,
AA_8_Aircraft_Mk2_Spaceplanes,,,Aa 8 Aircraft Mk2 Spaceplanes,,,,,,,,
AA_9_Rocket_ExperimentalSystems,,,Aa 9 Rocket Experimentalsystems,,,,,,,,
AA_9_Probe_Remote_Guidance_Systems,,,Aa 9 Probe Remote Guidance Systems,,,,,,,,
AA_10_Station_SuperHeavyStations_5m,,,Aa 10 Station Superheavystations 5M,,,,,,,,
AA_10_Aircraft_AdvancedSSTO,,,Aa 10 Aircraft Advancedssto,,,,,,,,
AA_10_Rocket_NuclearPropulsion,,,Aa 10 Rocket Nuclearpropulsion,,,,,,,,
AA_T99_Parking,,,Aa T99 Parking,,,,,,,,
