Node ID,New Node ID,Branch,Node Name,Tier #,Parent Nodes,Node Icon,Node Description,Cost,X coordinate,Y coordinate,Z coordinate
AA_1_Electrical_Radar_Technology,AA_1_Electrical_Radar,Radar,Radio Detection and Ranging,1.5,"AA_1_Electrical_Circuit_Theory,AA_1_Science_Basic",RDicon_electrics,Early radar and sensing systems.,1.5,-4700,-400,-1.5
AA_2_Recovery_Separation_And_Recovery,AA_2_Recovery_Separation_And_Recovery,Recovery,Separation & Recovery Experiments,2,AA_1_Aircraft_Expand_Team,RDicon_landing,Decouplers and early recovery parts for safer stage separation and returns.,2,-4600,500,-2
AA_3_Recovery_Small_Recovery_Systems,AA_3_Recovery_Dedicated,Recovery,Dedicated Recovery Systems,3,AA_2_Recovery_Separation_And_Recovery,RDicon_landing,Parachutes and recovery hardware for returning payloads and capsules.,3,-4400,500,-3
AA_5_Recovery_Large_Recovery_Systems,AA_5_Recovery_Heavy_Recovery,Recovery,Heavy Recovery Systems,5,AA_3_Recovery_Dedicated,RDicon_landing,Large heat shields and drogue chutes for 2.5m class vehicles. Essential for returning from high-energy trajectories.,5,-4000,500,-5
AA_6_Recovery_Heavy_Recovery_Systems,AA_6_Recovery_Advanced_Recovery,Recovery,Advanced Recovery Systems,6,AA_5_Recovery_Heavy_Recovery,RDicon_landing,Heavy heat shields for 3.75m+ vehicles and interplanetary return. The inflatable heat shield enables return from almost anywhere.,6,-3800,500,-6
AA_9_Resource_Industrial_Extraction,AA_9_Resource_ISRU,Resource,In-Situ Resource Utilization,9,AA_6_Rover_Exo_Rover,RDicon_fuelSystems,Industrial mining and ISRU.,9,-3200,-100,-9
AA_10_Rocket_NuclearPropulsion,AA_10_Rocket_NERVA,Rocket_Archer,NERVA Project,10,AA_9_Rocket_Areospike,RDicon_rocketry-basic,Nuclear thermal propulsion systems for deep space missions.,10,-3000,100,-10
AA_2_Rocket_Sounding_Rockets,AA_2_Rocket_Sounding_Rockets,Rocket_Archer,Sounding Rockets,2,AA_1_Aircraft_Expand_Team,RDicon_rocketry-basic,Early boosters for high-atmosphere and suborbital testing.,2,-4600,100,-2
AA_4_Rocket_Orbital_Rocketry,AA_4_Rocket_Orbital_Rocketry,Rocket_Archer,Orbital Rocketry,4,AA_3_Rocket_Small_Rockets,RDicon_rocketry-basic,Achieving stable orbit.,3,-4400,100,-3
AA_3_Rocket_Small_Rockets,AA_3_Rocket_Small_Rockets,Rocket_Archer,Small Rockets,3,AA_2_Rocket_Sounding_Rockets,RDicon_rocketry-basic,Small liquid engines and tanks for early orbital-class launchers.,3,-4400,100,-3
AA_5_Rocket_Docking,AA_5_Rocket_Docking,Rocket_Archer,Docking Technology,5,AA_4_Rocket_Orbital_Rocketry,RDicon_rocketry-basic,Clamp-O-Tron docking ports in various sizes enable spacecraft to connect in orbit. Essential for station assembly and crew transfer.,4,-4200,100,-4
AA_6_Rocket_Advanced_Rocketry,AA_6_Rocket_Advanced_Rocketry,Rocket_Archer,Advanced Rocketry,6,AA_5_Rocket_Docking,RDicon_rocketry-basic,Heavy-lift launch systems.,5,-4000,100,-6
AA_7_Rocket_Heavy_Rocketry,AA_7_Rocket_Heavy_Rocketry,Rocket_Archer,Heavy Rocketry,7,AA_6_Rocket_Advanced_Rocketry,RDicon_rocketry-basic,Very large launch vehicles.,6,-3800,100,-6
AA_8_Rocket_Specialized_Rocketry,AA_8_Rocket_Specialized_Rocketry,Rocket_Archer,Specialized Rocketry,8,AA_7_Rocket_Heavy_Rocketry,RDicon_rocketry-basic,Special-purpose launch systems.,7,-3600,100,-7
AA_9_Rocket_ExperimentalSystems,AA_9_Rocket_Areospike,Rocket_Archer,Areospike Engine Theory,9,AA_8_Rocket_Specialized_Rocketry,RDicon_rocketry-basic,Experimental spacecraft systems and advanced capture hardware.,9,-3200,100,-9
AA_4_NASA_Mercury,AA_4_NASA_Mercury,Rocket_NASA,Mercury Program,4,AA_2_Rocket_Sounding_Rockets,RDicon_commandmodules,Early U.S. crewed spacecraft parts and 2.5m rocket components for orbital missions.,4,-4200,400,-4
AA_5_NASA_Gemini,AA_5_NASA_Gemini,Rocket_NASA,Gemini Program,5,AA_4_NASA_Mercury,RDicon_commandmodules,"Two-crew U.S. spacecraft parts for rendezvous, EVA, and early operations.",5,-4000,400,-5
AA_6_NASA_Apollo,AA_6_NASA_Apollo,Rocket_NASA,Apollo Program,6,AA_5_NASA_Gemini,RDicon_commandmodules,"Lunar mission hardware: command/service modules, lunar lander parts, and Saturn-era components.",6,-3800,400,-6
AA_7_NASA_Shuttle,AA_7_NASA_Shuttle,Rocket_NASA,Space Shuttle Program,7,AA_6_NASA_Apollo,RDicon_commandmodules,Reusable orbiter-era parts and 3.75m shuttle stack components.,7,-3600,400,-7
AA_8_NASA_SLS,AA_8_NASA_SLS,Rocket_NASA,Shuttle Derived Launch Technologies,8,"AA_7_NASA_Shuttle,AA_7_Rocket_Heavy_Rocketry",RDicon_commandmodules,SLS-class launch systems.,8,-3400,400,-8
AA_2_Soviet_Fellow_Traveler,AA_2_Soviet_Fellow_Traveler,Rocket_Soviet,Fellow Traveler,2.5,"AA_2_Rocket_Sounding_Rockets,AA_1_Electrical_Circuit_Theory",RDicon_commandmodules,Early crew support parts for short-duration missions.,2.5,-4500,200,-2.5
AA_3_Soviet_Vostok,AA_3_Soviet_Vostok,Rocket_Soviet,Vostok,3.5,AA_2_Soviet_Fellow_Traveler,RDicon_commandmodules,Early Soviet crewed spacecraft parts for first human spaceflights.,3.5,-4300,200,-3.5
AA_4_Soviet_Voskhod,AA_4_Soviet_Voskhod,Rocket_Soviet,Voskhod,4.5,AA_3_Soviet_Vostok,RDicon_commandmodules,Multi-crew Soviet capsule hardware for early EVA-era missions.,4.5,-4100,200,-4.5
AA_5_Soviet_Soyuz,AA_5_Soviet_Soyuz,Rocket_Soviet,Soyuz,5.5,AA_4_Soviet_Voskhod,RDicon_commandmodules,Crewed spacecraft parts for long-duration orbital missions and docking operations.,5.5,-3900,200,-5.5
AA_6_Soviet_Salyut_Mir,AA_6_Soviet_Salyut_Mir,Rocket_Soviet,Salyut / Mir,6.5,AA_5_Soviet_Soyuz,RDicon_station,Early long-duration stations.,6.5,-3700,200,-6.5
AA_2_Rover_Rover_Systems,AA_1_Rover_Wheeled_Exploration,Rover,Automobile Exploration,1.5,AA_1_Aircraft_Expand_Team,RDicon_rover,Wheels and rover parts for surface exploration and science.,1.5,-4700,-100,-1.5
AA_3_Rover_FieldOps,AA_2_Rover_Field_Ops,Rover,Expanded Field Operations,2.5,AA_1_Rover_Wheeled_Exploration,RDicon_rover,Surface operations and tools.,2.5,-4500,-100,-2.5
,AA_3_Rover_Unmanned,Rover,Unmanned Rovers,3.5,AA_2_Rover_Field_Ops,RDicon_rover,Unmanned Rovers,3.5,-4300,-100,-3.5
AA_5_Rover_MidSystems,AA_4_Rover_Mun_Rover,Rover,Munar Exploration Development,4.5,AA_3_Rover_Unmanned,RDicon_rover,Expanded rover systems for deeper exploration and payload support.,4.5,-4100,-100,-4.5
AA_7_Rover_RuggedSystems,AA_6_Rover_Exo_Rover,Rover,Extraplanetary Rover Designs,6.5,AA_4_Rover_Mun_Rover,RDicon_rover,Ruggedized rover systems and heavy-duty surface equipment.,7,-3600,-100,-7
AA_1_Science_Basic,AA_1_Science_Basic,Science,Basic Science,3,AA_0_Aircraft_First_Flight,RDicon_science,Fundamental scientific instruments.,1,-4800,-500,-1
AA_2_Science_Applied,AA_2_Science_Applied,Science,Applied Science,2,AA_1_Science_Basic,RDicon_science,Expanded instruments for more advanced science returns.,2,-4600,-500,-2
AA_3_Science_FieldScience,AA_3_Science_FieldScience,Science,Field Science,3,AA_2_Science_Applied,RDicon_science,Field-deployable science and extended surface operations.,3,-4400,-500,-3
AA_4_Science_OrbitalSurvey,AA_4_Science_SCANsat_Basic,Science,Low Orbit Observations,4,AA_3_Science_FieldScience,RDicon_science,Orbital survey and mapping systems for planetary reconnaissance.,4,-4200,-500,-4
AA_5_Science_AdvancedSurvey,AA_5_Science_SCANsat_Intermediate,Science,Advanced Optics Optimizations,5,AA_4_Science_SCANsat_Basic,RDicon_science,Advanced mapping and survey systems for expanded scanning capability.,5,-4000,-500,-5
AA_6_Science_ScansatAdvanced,AA_6_Science_SCANsat_Advanced,Science,Multispectral Image Processors,6,AA_5_Science_SCANsat_Intermediate,RDicon_science,Advanced scanning payloads and high-end survey instrumentation.,6,-3800,-500,-6
AA_7_Science_ShuttleMaterials,AA_7_Science_MaterialBay,Science,Extraplanetary Material Testing Initiative,7,AA_6_Science_SCANsat_Advanced,RDicon_science,Shuttle-era materials science and advanced payload experiments.,7,-3600,-500,-7
AA_8_Science_HighEndScience,AA_8_Science_Gravioli,Science,Gravioli Mapping Project,8,AA_7_Science_MaterialBay,RDicon_science,High-end science payloads and classified reconnaissance systems.,8,-3400,-500,-8
AA_9_Science_ExoticResearch,AA_9_Science_Goo,Science,Goo Material Experiments,9,AA_8_Science_Gravioli,RDicon_science,Frontier scientific research.,9,-3200,-500,-9
AA_4_Recovery_Separation_Systems,AA_4_Separation_Basic_Systems,Separation,Separation Systems,4,AA_2_Recovery_Separation_And_Recovery,RDicon_construction-general,Medium decouplers and separators for 1.25m-1.875m rockets. More robust staging hardware for larger vehicles.,4,-4200,700,-4
AA_5_Recovery_Large_Separation_Systems,AA_5_Separation_Intermediate_Separation,Separation,Shaped Explosive Bolts,5,AA_4_Separation_Basic_Systems,RDicon_construction-general,"Large 2.5m decouplers, separators, and engine plates. Heavy-duty staging hardware for serious rockets.",5,-4000,700,-5
AA_6_Recovery_Heavy_Separation_Systems,AA_6_Separation_Advanced_Systems,Separation,High Strength Interstage Fairings,6,AA_5_Separation_Intermediate_Separation,RDicon_construction-general,"Heavy 3.75m and 5m decouplers, separators, and engine plates. Industrial-grade staging for the largest rockets.",6,-3800,700,-6
AA_3_SRB_Basic,AA_3_SRB_Basic,SRB,Early Solid Rocket Boosters,3,AA_2_Recovery_Separation_And_Recovery,RDicon_rocketry-basic,First solid rocket boosters for strap-ons and early lifter stages.,3,-4400,500,-3
AA_4_SRB_Medium,AA_4_SRB_Medium,SRB,Improved Propellent Mixtures,4,AA_3_SRB_Basic,RDicon_rocketry-basic,Medium-sized solid rocket boosters with significantly more thrust. The Kickback and Castor can help lift heavier payloads to orbit.,4,-4200,500,-4
AA_5_SRB_Heavy,AA_5_SRB_Heavy,SRB,High Energy Chemical Reactions,5,AA_4_SRB_Medium,RDicon_rocketry-basic,Heavy solid rocket boosters with thrust vector control. The Thoroughbred's gimbaling nozzle provides surprising agility for such a massive motor.,5,-4000,500,-5
AA_6_SRB_Super_Heavy,AA_6_SRB_Super,SRB,Experimental SRB Tests,6,AA_5_SRB_Heavy,RDicon_rocketry-basic,Truly massive solid rocket boosters for the heaviest launch vehicles. The Clydesdale puts out more thrust than anything else in its size class.,6,-3800,500,-6
AA_10_Station_SuperHeavyStations_5m,AA_10_Station_Colonization,Station,Constellation Colonization Program,10,AA_9_Station_Orbital_Outpost,RDicon_station,5m station modules and mega-habs for interplanetary staging and long-duration outposts.,10,-3000,300,-10
AA_8_Station_International_Space_Station,AA_8_Station_ISS,Station,International Space Station,8,"AA_6_Soviet_Salyut_Mir,AA_7_NASA_Shuttle",RDicon_station,Large modular space stations.,8,-3400,300,-8
AA_9_Station_HeavyStations_375,AA_9_Station_Orbital_Outpost,Station,Planetary Exploration Outposts,9,AA_8_Station_ISS,RDicon_station,Large-scale stations.,9,-3200,300,-9
AA_1_Structural_Industrial_Components,AA_1_Structural_Percision_Tooling,Structural/Industrial,Percision Tooling,1,AA_0_Aircraft_First_Flight,RDicon_structural,Foundational structural and industrial parts.,1,-4800,-600,-1
AA_2_Structural_Engineering,AA_2_Structural_Basic,Structural/Industrial,Structural Engineering,2,AA_1_Structural_Percision_Tooling,RDicon_structural,Advanced structural techniques.,2,-4600,-600,-2
,AA_3_Structural_Intermediate,Structural/Industrial,Streamlined Manufacturing Lines,3,AA_2_Structural_Basic,RDicon_structural,CHANGEME,3,-4400,-600,-3
,AA_4_Structural_Advanced,Structural/Industrial,Structural 4,4,AA_3_Structural_Intermediate,RDicon_structural,CHANGEME,4,-4200,-600,-4
,AA_5_Structural_Extraplanetary,Structural/Industrial,Exploration Support,5.5,AA_4_Structural_Advanced,RDicon_structural,CHANGEME,5.5,-3900,-600,-5.5
,AA_7_Structural_Habitation,Structural/Industrial,Extraplanetary Habitation,7,AA_5_Structural_Extraplanetary,RDicon_structural,CHANGEME,7,-3600,-600,-7
,AA_8_Structural_Colonization,Structural/Industrial,Colony Construction,8,AA_7_Structural_Habitation,RDicon_structural,CHANGEME,8,-3400,-600,-8
AA_T99_Parking,AA_T99_Parking,UNASSIGNED PARTS,Unassigned Parts,99,AA_0_Aircraft_First_Flight,RDicon_generic,Holding node for parts not yet placed in the tech tree.,99,-2800,0,-99
