mod_folder,name,title,manufacturer,description,TechRequired,category,size_class,size_m,size_source,is_hidden,hidden_reason
Squad,elevon2,Elevon 2,C7 Aerospace Division,"Made from the finest materials at hand, these flight surfaces are guaranteed to operate while attached to the craft. However studies have shown that a lack of atmosphere *may* slightly impede function. No refunds.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,elevon3,Elevon 3,C7 Aerospace Division,"Made from the finest materials at hand, these flight surfaces are guaranteed to operate while attached to the craft. However studies have shown that a lack of atmosphere *may* slightly impede function. No refunds.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,smallCtrlSrf,Elevon 4,C7 Aerospace Division,"Feel the need to attach an elevator, rudder or aileron to just about any surface you can get your mitts on? Well this small elevon is for you. Made of mostly new factory parts, it will fit just about anywhere. Just don't expect a huge performance out of such a small part.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,elevon5,Elevon 5,C7 Aerospace Division,"Just another one of these elevon things... wait, this one is swept! Wow!",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,structuralWing4,Structural Wing Type D,C7 Aerospace Division,"This wing has been constructed out of surplus wing components. Comes complete with ""like new"" finish.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,sweptWing1,Swept Wing Type A,C7 Aerospace Division,"This wing has been constructed out of surplus wing components. Comes complete with ""like new"" finish.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,smallHardpoint,Small Hardpoint,C7 Aerospace Division,"A structural Pylon for engine Support. Designed to fit against fuselages, and hull bodies. This is the small variant, mostly for use with the smaller engines. Comes Equipped with emergency bolts to separate jet engines in the event of fire or catastrophic failure. (Not covered by warranty)",advAerodynamics,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,FanShroud_02,S-12 Fan Shroud,WinterOwl Aircraft Emporium,This aesthetically pleasing shroud is for a medium ducted fan engine.\n\nHelps reduce the incidence of air crew incidents with them by over 5%!,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,FanShroud_03,S-25 Fan Shroud,WinterOwl Aircraft Emporium,This aesthetically pleasing shroud fits a large ducted fan blade.\n\nHelps reduce the incidence of air crew incidents with them by over 5%!,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,largeFanBlade,R-25 Ducted Fan Blade,WinterOwl Aircraft Emporium,This large ducted fan propeller can push a lot of air through a small space.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,largeHeliBlade,Helicopter Blade Type S,WinterOwl Aircraft Emporium,Rockets aren't the only way to go up. This large helicopter-style rotor can create lift whenever there's enough atmospheric pressure.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,largePropeller,Propeller Blade Type S,WinterOwl Aircraft Emporium,This blade part can be used to convert lift into thrust if you spin it fast enough. The advanced user can even find this useful on other planets with an atmosphere.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,smallFanBlade,R-062 Ducted Fan Blade,WinterOwl Aircraft Emporium,This small ducted fan propeller can push a lot of air through a small space.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,smallHeliBlade,Helicopter Blade Type A,WinterOwl Aircraft Emporium,Rockets aren't the only way to go up. This small helicopter-style rotor can create lift whenever there's enough atmospheric pressure.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,smallPropeller,Propeller Blade Type A,WinterOwl Aircraft Emporium,This blade part can be used to convert lift into thrust if you spin it fast enough. The advanced user can even find this useful on other planets with an atmosphere.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,RotorEngine_03,R7000 Turboshaft Engine,C7 Aerospace Division,This massive turbine engine consumes liquid fuel and outputs angular acceleration. We'd say it's the most powerful thing you can buy - but it's still not a rocket.,advAerodynamics,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,wheelMed,TR-2L Ruggedized Vehicular Wheel,Kerbal Motion LLC,"The TR-2L is an extremely tough wheel made for mobilizing medium sized vehicles across a large variety of terrain. The extremely high traction tread ensures firm grip on any surface, providing reliability and reducing the chances of being used for high-speed tomfoolery.",advancedMotors,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,roverWheel3,RoveMax Model XL3,Kerbal Motion LLC,"The RoveMax Model 3 was developed in total secrecy by Kerbal Motion's R&D team over the course of a year and a half. When it was finally revealed to the company's chairman, he stared in shock, screamed 'WHY', and subsequently dropped dead on the spot.",advancedMotors,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotor_03,EM-64 Heavy Rotor,Kerbal Motion LLC,"A large low-torque, high RPM eletric motor. Make sure you don't run out of EC, or it will only be useful as a large lazy susan.",advancedMotors,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotor_03s,EM-64S Heavy Rotor,Kerbal Motion LLC,"A large low-torque, high RPM electric motor. The smaller head allows it to masquearade as a medium rotor - don't be fooled!",advancedMotors,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,mGripPad,GP-036 Grip Pad,Dinkelstein Kerman's Construction Emporium,A medium size non-slip pad so that the feet of your mecha-bot do not slip out from under it on the shifty sands of Duna. Comes in two form factors and three grip levels.,advancedMotors,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,sGripPad,GP-004 Grip Pad,Dinkelstein Kerman's Construction Emporium,A very small non-slip pad to help make sure rocks do not slip out of the fingers of your mecha-bot. Comes in two form factors and three grip levels.,advancedMotors,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,sGripStrip,GPS-025 Grip Strip,Dinkelstein Kerman's Construction Emporium,A non slip strip. The manufacturer assures us the price is justified and 'going down to the local market and buying a nice doormat' would NOT be just as good.,advancedMotors,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-nosecone-1875-2,Protective Rocket Nose Mk18,Kerbodyne,"For capping off those medium size boosters, you can't beat the Mark 18, unless you're the Mark 19.",advConstruction,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-engineplate-125-1,EP-12 Engine Plate *DEPRECATED DO NOT USE*,Rokea Inc,"A small plate for holding one or more engines. Includes optional boattail to protect first stage engines, or several lengths of shroud. Includes a decoupler for use with upper stages.",advConstruction,none,Small,1.25,bulkheadProfiles,TRUE,category=none
ReStockPlus,restock-engineplate-125-2,EP-12 Engine Plate,Rokea Inc,"A small plate for holding one or more engines. Includes optional boattail to protect first stage engines, or several lengths of shroud. Includes a decoupler for use with upper stages.",advConstruction,Coupling,Small,1.25,bulkheadProfiles,FALSE,
ReStockPlus,restock-decoupler-1875-1,TD-18 Decoupler,O.M.B. Demolition Enterprises,This stack decoupler is a medium sized tool for splitting rockets.,advConstruction,Coupling,Medium,1.875,bulkheadProfiles,FALSE,
ReStockPlus,restock-decoupler-1875-truss-1,TD-18T Truss Decoupler,C7 Aerospace Division,This is a decoupler with hollow bits - suitable for hot-staging engines when you split your rocket in twain.,advConstruction,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-engineplate-1875-1,EP-18 Engine Plate,Rokea Inc,"A medium sized plate for holding one or more engines, with included decoupler for anything attached below it.",advConstruction,Coupling,Medium,1.875,bulkheadProfiles,FALSE,
ReStockPlus,restock-separator-1875-1,TS-18 Separator,O.M.B. Demolition Enterprises,"This stack separator is a medium sized separator, much like the other separators. Unlike Decouplers, Separators will eject anything connected to themselves. This is good, as it removes the need to worry about which side needs to be pointed away from face. Try to not look at it too much though.",advConstruction,Coupling,Medium,1.875,bulkheadProfiles,FALSE,
ReStockPlus,restock-fairing-base-0625-1,AE-FF0 Airstream Protective Shell (0.625m),FLOOYD Dynamics Research Labs,"While the Kerbals at Mission Control were still figuring out how to get their rockets back down to Kerbin safely, the research engineers at FLOOYD were quickly realising that protecting parts on ascent was just as important. Heavy research into two-dimensional-input driven procedural construction was then funded with the hopes of making protective shells for important payloads and interstage areas of the crafts. The protective shells also have the benefit of making the craft more aerodynamic, hopefully saving on precious rocket fuel! This protective shell is an even tinier size available from FLOOYD.",advConstruction,Payload,Tiny,0.625,bulkheadProfiles,FALSE,
ReStockPlus,restock-service-module-125-625-1,Service Module (1.25m),FLOOYD Dynamics Research Labs,"A small conical service module, for storing parachutes, instruments, and other small devices. Includes an optional docking tunnel.",advConstruction,Payload,Small,1.25,bulkheadProfiles,FALSE,
ReStockPlus,restock-fairing-base-1875-1,AE-FF1-L Airstream Protective Shell (1.875m),FLOOYD Dynamics Research Labs,"While the Kerbals at Mission Control were still figuring out how to get their rockets back down to Kerbin safely, the research engineers at FLOOYD were quickly realising that protecting parts on ascent was just as important. Heavy research into two-dimensional-input driven procedural construction was then funded with the hopes of making protective shells for important payloads and interstage areas of the crafts. The protective shells also have the benefit of making the craft more aerodynamic, hopefully saving on precious rocket fuel! As a result of budget schedule realignments, this protective shell has recently become available.",advConstruction,Payload,Medium,1.875,bulkheadProfiles,FALSE,
ReStockPlus,restock-service-module-1875-1,Service Module (1.875m),FLOOYD Dynamics Research Labs,"A medium sized service module, for storing fuel tanks, batteries, fuel cells, etc.",advConstruction,Payload,Medium,1.875,bulkheadProfiles,FALSE,
ReStockPlus,restock-structural-tube-125-1,TB-125 Structural Tube,Rokea Inc,"A small tube, full of wonderous things. Available in many lengths and even finishes!",advConstruction,Structural,Small,1.25,bulkheadProfiles,FALSE,
ReStockPlus,restock-adapter-1875-125-1,FL-XA15 Adapter,Kerbodyne,Effectively connects small sized 1.25m tubes to larger medium 1.875m tubes.,advConstruction,Structural,Medium,1.875,bulkheadProfiles,FALSE,
ReStockPlus,restock-adapter-1875-25-1,FL-XA30 Adapter,Kerbodyne,Connect two tubes of different size classes together! Oh the kerbality!,advConstruction,Structural,Large,2.5,bulkheadProfiles,FALSE,
ReStockPlus,restock-structural-tube-1875-1,TB-1875 Structural Tube,Rokea Inc,A medium tube for the cylindrically inclined. Available in many lengths and even finishes!,advConstruction,Structural,Medium,1.875,bulkheadProfiles,FALSE,
Squad,pointyNoseConeA,Advanced Nose Cone - Type A,Goliath National Products,Less drag due to pointy shape.,advConstruction,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,rocketNoseCone_v2,Protective Rocket Nose Cone Mk7,Goliath National Products,A large nose cone for covering up exposed areas of big rockets.,advConstruction,none,Large,2.5,bulkheadProfiles,TRUE,category=none
Squad,rocketNoseCone_v3,Protective Rocket Nose Cone Mk7,Goliath National Products,A large nose cone for covering up exposed areas of big rockets.,advConstruction,Aero,Large,2.5,bulkheadProfiles,FALSE,
Squad,fairingSize1,AE-FF1 Airstream Protective Shell (1.25m),FLOOYD Dynamics Research Labs,"While the Kerbals at Mission Control were still figuring out how to get their rockets back down to Kerbin safely, the research engineers at FLOOYD were quickly realising that protecting parts on ascent was just as important. Heavy research into two-dimensional-input driven procedural construction was then funded with the hopes of making protective shells for important payloads and interstage areas of the crafts. The protective shells also have the benefit of making the craft more aerodynamic, hopefully saving on precious rocket fuel!",advConstruction,Payload,Small,1.25,bulkheadProfiles,FALSE,
Squad,Separator_1,TS-12 Stack Separator,O.M.B. Demolition Enterprises,"Unlike Decouplers, Separators jettison everything attached to them. This new technology was very well received by rocket engineers everywhere. Not bad for something that started out as a failure for a controlled explosive bolt prototype",advConstruction,Coupling,Small,1.25,bulkheadProfiles,FALSE,
Squad,radialDecoupler1-2,Hydraulic Detachment Manifold,O.M.B. Demolition Enterprises,"After discovering the word ""Manifold"", O.M.B. Engineers decided it would be best to use it in the name of at least ONE product.",advConstruction,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,radialDecoupler2,TT-70 Radial Decoupler,O.M.B. Demolition Enterprises,"The TT-70 Radial Decoupler is an extension of the TT-38K decoupler, with a large truss structure for greater space between mounting points.",advConstruction,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,flagPartSize0,RFP-0 Flag (.625m),Rokea Inc,"A small flag that can be applied to size 0 tanks and other parts with the same curvature to show pride in your mission. Or use a different mission flag, if you really want to go that way.",advConstruction,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,largeAdapter2,Rockomax Brand Adapter 02,Rockomax Conglomerate,"A shorter adapter from Rockomax, formed under similar circumstances to its big brother. Coated with spaceproof paint for maximum integrity.",advConstruction,Structural,Large,2.5,bulkheadProfiles,FALSE,
Squad,stackTriCoupler_v2,TVR-1180C Mk1 Stack Tri-Coupler,O.M.B. Demolition Enterprises,"The Stack Tricoupler! If your stack is lacking in awesomeness, this is the tool for you! Just remember that this is not a decoupler, and won't separate stages.",advConstruction,Structural,Small,1.25,bulkheadProfiles,FALSE,
Squad,pointyNoseConeA,Advanced Nose Cone - Type A,Goliath National Products,Less drag due to pointy shape.,advConstruction,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,rocketNoseCone,Protective Rocket Nose Cone Mk7,Goliath National Products,A large nose cone for covering up exposed areas of big rockets.,advConstruction,none,Large,2.5,bulkheadProfiles,TRUE,category=none
Squad,largeAdapter2,Rockomax Brand Adapter 02,Rockomax Conglomerate,"A shorter adapter from Rockomax, formed under similar circumstances to its big brother. Coated with spaceproof paint for maximum integrity.",advConstruction,Structural,Large,2.5,bulkheadProfiles,FALSE,
Squad,stackTriCoupler,TVR-1180C Mk1 Stack Tri-Coupler,O.M.B. Demolition Enterprises,"The Stack Tricoupler! If your stack is lacking in awesomeness, this is the tool for you! Just remember that this is not a decoupler, and won't separate stages.",advConstruction,none,Small,1.25,bulkheadProfiles,TRUE,category=none
SquadExpansion,Size_1_5_Cone,Protective Rocket Nosecone Mk5A,Goliath National Products,A midsize nosecone that improves the aerodynamic profile for 1.875m rocket stacks.,advConstruction,Aero,Medium,1.875,bulkheadProfiles,FALSE,
SquadExpansion,EnginePlate1p5,EP-18 Engine Plate,Rokea Inc,Inspired by an upside down birthday cake. Now with added shrouds for windy days. For clustering multiple small engines on small tanks.,advConstruction,Coupling,Medium,1.875,bulkheadProfiles,FALSE,
SquadExpansion,Separator_1p5,TS-18 Stack Separator,O.M.B. Demolition Enterprises,This separator is the response to Kerbals not reading the decoupler instructions properly. Separates both ways.,advConstruction,Coupling,Medium,1.875,bulkheadProfiles,FALSE,
SquadExpansion,Size1p5_Strut_Decoupler,Size 1.5 Decoupler,C7 Aerospace Division,"Borrowed from a local farmer, this decoupler originally housed small animals. Now capable of housing small parts.",advConstruction,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,fairingSize1p5,AE-FF1.5 Airstream Protective Shell (1.875m),FLOOYD Dynamics Research Labs,"While the Kerbals at Mission Control were still figuring out how to get their rockets back down to Kerbin safely, the research engineers at FLOOYD were quickly realising that protecting parts on ascent was just as important. Heavy research into two-dimensional-input driven procedural construction was then funded with the hopes of making protective shells for important payloads and interstage areas of the crafts. The protective shells also have the benefit of making the craft more aerodynamic, hopefully saving on precious rocket fuel!",advConstruction,Payload,Medium,1.875,bulkheadProfiles,FALSE,
SquadExpansion,Size1to0ServiceModule,SM-6A Service Module,FLOOYD Dynamics Research Labs,"A service bay, with explosive doors. Do not open by hand!",advConstruction,Payload,Small,1.25,bulkheadProfiles,FALSE,
SquadExpansion,ServiceModule18,SM-18 Service Module,FLOOYD Dynamics Research Labs,"A service bay, with explosive doors. Do not open by hand!",advConstruction,Payload,Medium,1.875,bulkheadProfiles,FALSE,
SquadExpansion,Tube1,T-12 Structural Tube,Rokea Inc,Kerbals like to play hide and seek with these small tubes.,advConstruction,Structural,Small,1.25,bulkheadProfiles,FALSE,
SquadExpansion,Tube1p5,T-18 Structural Tube,Rokea Inc,"The Kerbin transportation department is still looking for these tubes, originally intended for the underground system.",advConstruction,Structural,Medium,1.875,bulkheadProfiles,FALSE,
SquadExpansion,flagPartSize1p5,RFP-1.5 Flag (1.875m),Rokea Inc,"A flag that can be applied to size 1.5 tanks and other parts with the same curvature to show pride in your mission. Or use a different mission flag, if you really want to go that way.",advConstruction,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,hinge_01_s,G-00 Hinge,Moving Parts Experts Group,A small actuator that can be used for a variety of purposes. Over 20% of those have something to do with rockets.,advConstruction,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,hinge_03_s,G-01L Alligator Hinge,Moving Parts Experts Group,"A small actuator with a longer frame that can be used for a variety of purposes. Despite its appearence, clamping Wernher's loose notes together is not an ideal choice.",advConstruction,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,piston_01,3P6 Hydraulic Cylinder,Moving Parts Experts Group,"Moving Parts Experts Group took one of its landing leg designs, stripped off a few bits, doubled the power, and sold us this piston.",advConstruction,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,piston_02,1P2 Hydraulic Cylinder,Moving Parts Experts Group,This small piston generates an impressive amount of force. Use with care.,advConstruction,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotoServo_00,Rotation Servo M-06,Kerbal Motion LLC,"A small, high-torque servo that can rotate attached parts through almost 360 degrees. No Kerbals were harmed in the creation of this part. Yet.",advConstruction,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adapter-0625-125-1,PAS Flat Adapter,Kerbalmax Industries,Another decorative part for when you need to close off a PAS-series tube and you can't trust your Kerbals to keep that final door shut. Doubles as an adapter to a smaller size.,advConstruction,Structural,Small,1.25,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-attach-125-1,Pressurized BZ-15 Radial Attachment Point,Kerbalmax Industries,"Sometimes, you need a hatch, but don't have one. The BZ-15 fills this particular niche.",advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-125-1,PAS-1 Pressurized Crew Tube,Kerbalmax Industries,"Though we're somewhat unsettled that the manufacturer has chosen to highly publicize the newly pressurized nature of this crew tube, it looks solid enough.",advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-125-2,PAS-2 Pressurized Crew Tube,Kerbalmax Industries,"The PAS-1 was so popular that Kerbalmax created the half-length PTD-2 to satisfy demands for more parts. It's a pity they're charging somewhat more than would be expected, especially since the cut lines are still visible.",advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-125-3,PAS-3 Pressurized Crew Tube,Kerbalmax Industries,"The PAS-3 is a quarter-size PAS-1, which lacks any kind of fixtures. Useful for unregulated last-mile connections.",advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adapter-1875-0625-1,PMA Narrow Adapter,Kerbalmax Industries,"In the event that a PMA stack needs to get really narrow really fast, use this adapter",advConstruction,Structural,Medium,1.875,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adapter-1875-125-1,PMA-PAS Flat Adapter,Kerbalmax Industries,"In case you need to abruptly end a stack, this part might be your ticket.",advConstruction,Structural,Medium,1.875,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adapter-1875-125-2,PMA-PAS Adapter,Kerbalmax Industries,Slowly and sedately connect a PMA to PAS stack.,advConstruction,Structural,Medium,1.875,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adapter-25-1875-1,PPD-PMA Adapter,Kerbalmax Industries,Seamfully connect larger PPD parts to PMA parts with this adapter!,advConstruction,Structural,Large,2.5,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-attach-1875-1,PMA-AR Radial Attachment Module,Kerbalmax Industries,Used to connect PMA modules radially to stack attached parts,advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-1875-1,PMA-T1 Pressurized Crew Tube,Kerbalmax Industries,"This medium diameter, long crew tube is excellent for structural uses. It doesn't contain any fixtures though.",advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-1875-2,PMA-T2 Pressurized Crew Tube,Kerbalmax Industries,"This medium diameter, medium length crew tube is excellent for structural uses. It doesn't contain any fixtures though.",advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-1875-3,PMA-T3 Pressurized Crew Tube,Kerbalmax Industries,"This medium diameter, short crew tube is excellent for structural uses. It doesn't contain any fixtures though.",advConstruction,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-1875-angled-1,PMA-1A Angled Pressurized Crew Tube,Kerbalmax Industries,"In some cases, you need to turn hard to starboard, or hard a port. Or gently. I don't know, it's a tube.",advConstruction,Structural,Medium,1.875,bulkheadProfiles,FALSE,
SCANsat,scansat-sar-paz-1,SAR-X Antenna,SCAN: Scientific Committee on Advanced Navigation,"A basic synthetic aperture radar instrument, which sends out radar signals and uses the movement of the satellite during the ping to synthesize recieving them with a much larger dish. Effectively captures high resolution elevation data over a very narraw width from low orbits. Uses a large amount of power but functions in lit and unlit situations.",advElectrics,Science,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,solarPanels2,SP-L 1x6 Photovoltaic Panels,Probodobodyne Inc,The alternate configuration of the SP Model Photovoltaic Panels.  Includes passive radiators on the reverse side for better heat dissipation.,advElectrics,Electrical,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,solarPanels4,OX-4L 1x6 Photovoltaic Panels,Probodobodyne Inc,"The OX-4 is similar in design to the SP series solar panels, but without the heavy casing.  Includes passive radiators on the reverse side for better heat dissipation. WARNING: Not retractable once deployed!",advElectrics,Electrical,Radial,,attachRules/bulkheadProfiles,FALSE,
